description,category,subcategory
doctor visi kl,needs,Others
ரப்கர் (burger) for family,wants,Food & Beverage
milk powder baby  at mall,needs,Food & Beverage
main bowling penang,wants,Entertainment
bubble tea craving,wants,Food & Beverage
makan angin,wants,Others
staycation rm10,wants,Others
kredi telefon,needs,Telecommunication
change engine oil rm10,needs,Transportation
பிரியாணி (briyani special) today,wants,Food & Beverage
baya ptptn,needs,Financial Services
basuh kereta polish,wants,Others
bayar bil celcom monthly,needs,Telecommunication
gi jalan jalan urgent,wants,Entertainment
மின்சாரம் (electric blil),needs,Financial Services
买菜 (mǎi cài) baru,needs,Food & Beverage
langgan netflix,wants,Entertainment
நகை (jewellery) kl today,wants,Shopping
பெட்ரோல் (petrol),needs,Transportation
byaar hutang,needs,Financial Services
main game now,wants,Entertainment
spotify subscription for family,wants,Entertainment
makan tenghaari nasi campur urgent,needs,Food & Beverage
pump petrol,needs,Transportation
காய்கறி (kaaigari),needs,Food & Beverage
minum starbucks damansara deposit,wants,Food & Beverage
spa dan urut today,wants,Others
baya sewa ghugi  midvalley,needs,Financial Services
make nasik berlauk urgent,needs,Food & Beverage
home decor rm100,wants,Others
lrt tikcet monthly baru,needs,Transportation
beli data,needs,Telecommunication
makan wagyu kl,wants,Food & Beverage
bayar duit kerta,needs,Financial Services
hotel mahal,wants,Others
பர்கர் (burger),wants,Food & Beverage
car detailing,wants,Others
கார் பழுது (car repair) for mom,needs,Transportation
nangga wayang,wants,Entertainment
tukar tayar kereta for family,needs,Transportation
home wifi bill jb,needs,Telecommunication
grab to work,needs,Transportation
makan angin,wants,Others
打油 (dǎ yóu),needs,Transportation
minyak masak paket urgen,needs,Food & Beverage
bayar duit kereta,needs,Financial Services
sabun basuh baju penang,needs,Others
spa package  pavilion deposit,wants,Others
main game cash,wants,Entertainment
beli lauk klang lagi,needs,Food & Beverage
ubat klinik penang,needs,Others
gi pusing pusing urgent,wants,Others
settle ptptn,needs,Financial Services
买手机 (buy phone)  at mall,wants,Shopping
ayar api,needs,Financial Services
new sneakers  kedai runcit,wants,Shopping
做SPA  at mall yesterday,wants,Others
看电影 (movie)  online,wants,Entertainment
movie tickets  bangsar baru,wants,Entertainment
bayar sewa rumah,needs,Financial Services
home decor penang,wants,Others
பள்ளி கட்டணம் (school fee),needs,Others
bayr hutang,needs,Financial Services
学费 (xuéfèi),needs,Others
pekena nasi kandaq,wants,Food & Beverage
tiket bas rapid today,needs,Transportation
beli data  at mall,needs,Telecommunication
மருத்துவர் (doctor) yesterday,needs,Others
买新衣服 (new clothes) shah alam rm50,wants,Shopping
அரிசி (arisi) for family,needs,Food & Beverage
买奶茶 (boba),wants,Food & Beverage
பள்ளி கடடணம் (school fee) jb,needs,Others
இணையம் (internet) kl,needs,Telecommunication
去旅行 (ravel)  bangsar lagi,wants,Others
fancy dinner kl rm50,wants,Food & Beverage
beli sabun basuh,needs,Others
data reload  pavilion for mom,needs,Telecommunication
bayar sewa ghug,needs,Financial Services
买手机 (buy phone) now,wants,Shopping
bil air syabas  at mall,needs,Financial Services
鸡饭 (jīfàn)  at mall,needs,Food & Beverage
tudung duck,wants,Shopping
handbag luxruy baru,wants,Shopping
new sneakers  online,wants,Shopping
tukar phone baru penag yesterday,wants,Shopping
langgan netflix,wants,Entertainment
makan angin tomorrow,wants,Others
give parent money tomorrow,needs,Financial Services
看医生 (kàn yīshēng) damansara,needs,Others
打油 (dǎ yóu)  kedai runcit,needs,Transportation
isi minya kereta full klang,needs,Transportation
shopping mall,wants,Shopping
isi minyak keta,needs,Transportation
பள்ளி கட்டணம் (school fee),needs,Others
buy medicine kl,needs,Others
iphone 15 pro,wants,Shopping
fanc dinner,wants,Food & Beverage
tenogk wayang,wants,Entertainment
zaakt fitrah,needs,Financial Services
new gadget tomorrow,wants,Shopping
bayar sewa rumah klang,needs,Financial Services
tuition fees  at mall,needs,Others
facy dinner shah alam,wants,Food & Beverage
bayar sewa ghug cheras,needs,Financial Services
நகை (jewellery) penang,wants,Shopping
gi pusing pusing cash,wants,Others
போன் பில் (phone bill),needs,Telecommunication
beli beras 10kg  midvalley,needs,Food & Beverage
plumbing repair,needs,Others
insurans nyawa,needs,Financial Services
tuka tayar kereta rm100,needs,Transportation
pay insurance,needs,Financial Services
beli baju raya,wants,Shopping
make nasi berlauk,needs,Food & Beverage
lunch economy rice  bangsar for mom,needs,Food & Beverage
beli baju ghalit for mom,wants,Shopping
stem games,wants,Entertainment
சுற்றுல (tour),wants,Others
bayar bil celcom yesterday,needs,Telecommunication
tapau nasi,needs,Food & Beverage
holidy trip,wants,Others
sabun basuh baju,needs,Others
அரிசி (arisi) monthly,needs,Food & Beverage
makan angin,wants,Food & Beverage
tiket sunway lagoon lagi,wants,Entertainment
ngteh mahal,wants,Food & Beverage
car service centre,needs,Transportation
beli lauk klang,needs,Food & Beverage
spa packge rm50,wants,Others
uniqlo haul damansara,wants,Shopping
isi minyak kereta full monthly,needs,Transportation
movie tickets,wants,Entertainment
tukar phone baru,wants,Shopping
tambang lrt,needs,Transportation
topup tepon,needs,Telecommunication
பஸ் கட்டணம் (bus fare),needs,Transportation
மின்சாரம் (electric bll) lagi,needs,Financial Services
tuition fees shah alam,needs,Others
tamabng lrt baru,needs,Transportation
gi pusing pusing kl,wants,Others
鸡饭 (jīfàn) kl for family,needs,Food & Beverage
买米 (mǎi mǐ)  kedai runcit,needs,Food & Beverage
shopping sogo klang,wants,Shopping
toiltries,needs,Others
baskin robbins,wants,Food & Beverage
holiday bali kl,wants,Others
mobile data plan,needs,Telecommunication
பள்ளி கட்டணம் (schoo fee),needs,Others
bil unifi rumah,needs,Telecommunication
main game rm10,wants,Entertainment
minum starbucks damansara,wants,Food & Beverage
sabun basuh baju kl,needs,Others
minm starbucks,wants,Food & Beverage
makan angin,wants,Others
baskin robbins,wants,Food & Beverage
看电影 (movie) deposit,wants,Entertainment
அரிசி (risi),needs,Food & Beverage
car detailing kl,wants,Others
மருத்துவர் (doctor),needs,Others
steam games credit,wants,Entertainment
holiday bali,wants,Others
make nasik berlauk,needs,Food & Beverage
holiday bali,wants,Others
makan kfc family,wants,Food & Beverage
tapau nasi  midvalley,needs,Food & Beverage
buy groceries giant  at mall,needs,Food & Beverage
kredit telefon for family,needs,Telecommunication
cukai pendapatan lhdn,needs,Financial Services
topup tepon,needs,Telecommunication
bil internet urgent,needs,Telecommunication
tuition fees rm100,needs,Others
taycation,wants,Others
makan angin,wants,Others
minyak masak pake credit,needs,Food & Beverage
mobile data plan yesterday,needs,Telecommunication
bayar ptptn,needs,Financial Services
mcdonalds set penang,wants,Food & Beverage
main bowling,wants,Entertainment
pump petrol kl,needs,Transportation
yuran tadika,needs,Others
pay digi bill,needs,Telecommunication
beli jam tangan  online,wants,Shopping
sushi king  online,wants,Food & Beverage
karaok baru,wants,Entertainment
barang dapur bsah,needs,Food & Beverage
hotel mahal deposit,wants,Others
கார் கடன் (car loan) rm100,needs,Financial Services
beli sabun basuh cash,needs,Others
beli pampers anak,needs,Others
杂饭 (záfàn),needs,Food & Beverage
kredit telefon,needs,Telecommunication
pay house rent,needs,Financial Services
beli ayam seekor,needs,Food & Beverage
bus fare rm50,needs,Transportation
sayur pasar tani,needs,Food & Beverage
பள்ளி கட்டணம் (school fee),needs,Others
topup pubg,wants,Entertainment
காய்கறி (kaaigari) kl yesterday,needs,Food & Beverage
holiday bali,wants,Others
bread and eggs,needs,Food & Beverage
makan angin cheras cash,wants,Others
new sneakers today,wants,Shopping
tukar phone baru,wants,Shopping
bread and eggs,needs,Food & Beverage
toletries klang lagi,needs,Others
shope 11.11 rm100,wants,Shopping
bayar api,needs,Financial Services
new gadget rm10,wants,Shopping
makan tengahari nasi campur,needs,Food & Beverage
gi jalan jalan,wants,Entertainment
bayar sewa rumah,needs,Financial Services
makan tengahari nasi campur urgent,needs,Food & Beverage
bil internet now,needs,Telecommunication
看电影 (movie)  midvalley urgent,wants,Entertainment
buy groceries gaint,needs,Food & Beverage
topup hotlink urgent,needs,Telecommunication
去旅行 (travel) deposit,wants,Others
ngeteh mahal  online,wants,Food & Beverage
make nasik berlauk tomorrow,needs,Food & Beverage
korean bbq for mom,wants,Food & Beverage
makan kfc family  bangsar lagi,wants,Food & Beverage
bil unifi rumah  at mall,needs,Telecommunication
shopee 11.11,wants,Shopping
付房租 (fù fángzū) jb monthly,needs,Financial Services
holiday bali cash,wants,Others
pay water bill cash,needs,Financial Services
去旅行 (travel) kl onthly,wants,Others
reload prepaid  pavilion,needs,Telecommunication
ubat klinik,needs,Others
isi minyak keta,needs,Transportation
beli diamond mlbb,wants,Entertainment
minum starbuck,wants,Food & Beverage
holiday bali,wants,Others
karaoke night  at mall lagi,wants,Entertainment
gym membership urgent,wants,Others
tukar phone baru  kedai runcit rm10,wants,Shopping
நகை (jewellery),wants,Shopping
berad and eggs,needs,Food & Beverage
gi jalan jalan,wants,Entertainment
main game,wants,Entertainment
tike sunway lagoon credit,wants,Entertainment
iphone 15 pro  bangsar,wants,Shopping
insurans nyawa,needs,Financial Services
topup hotlink lagi,needs,Telecommunication
bubbe tea craving,wants,Food & Beverage
hiasan rumah  online,wants,Others
学费 (xuéfèi)  kedai runcit,needs,Others
mekap watsons penang,wants,Shopping
mkaan angin,wants,Food & Beverage
steam games,wants,Entertainment
home wifi bill today,needs,Telecommunication
car detailing,wants,Others
bil elektrik tnb  nline now,needs,Financial Services
holiday trip shah alam today,wants,Others
insurans nyawa  bangsar cash,needs,Financial Services
shopping mall cash,wants,Shopping
tiket sunway lagoon,wants,Entertainment
上网费 (shàngwǎng fèi) credit,needs,Telecommunication
beg tangan coach,wants,Shopping
bayar api credit,needs,Financial Services
bayar duit kereta,needs,Financial Services
beg tangn coach kl,wants,Shopping
topup touch n go,needs,Transportation
beg tangan coach,wants,Shopping
tuition fees jb,needs,Others
mbile data plan urgent,needs,Telecommunication
iphone 15 pro  at mall,wants,Shopping
lunch econom rice for mom,needs,Food & Beverage
alnggan netflix,wants,Entertainment
நகை (jewellery kl,wants,Shopping
சோறு (soru) cheras,needs,Food & Beverage
topup touch n go urent,needs,Transportation
home decor,wants,Others
tapau nasi,needs,Food & Beverage
minyak muto kl,needs,Transportation
நகை (jewelley),wants,Shopping
bread and eggs for family,needs,Food & Beverage
iphone 15 pro jb urgent,wants,Shopping
movie tickets klang,wants,Entertainment
basuh kereta polish klang cash,wants,Others
reload prepaid,needs,Telecommunication
bayar bil celcom for family,needs,Telecommunication
reloda tng ewallet,needs,Transportation
bayar keta deposit,needs,Financial Services
netflix bill,wants,Entertainment
langgan netflix cash,wants,Entertainment
sayur manis  at mall rm10,needs,Food & Beverage
makan angin tomorrow,wants,Others
பெட்ரோல் (petrol) yseterday,needs,Transportation
isi minyak keta,needs,Transportation
tuiiton fees,needs,Others
yuran tadika damansara,needs,Others
main game,wants,Entertainment
main game,wants,Entertainment
gi pusing psuing now,wants,Others
isi minyak motor,needs,Transportation
beli baju ghali damansara,wants,Shopping
topup hotlink,needs,Telecommunication
docotr visit kl,needs,Others
付过路费 (tol),needs,Transportation
buy medicine,needs,Others
唱K (karaoke) baru,wants,Entertainment
topup tepon  pavilion,needs,Telecommunication
main bowling,wants,Entertainment
买药 (mǎi yào) damansara,needs,Others
网购 (online shopping) credit,wants,Shopping
tiket flight,wants,Others
beli diamond mlbb  pavilion,wants,Entertainment
买药 (mǎi yào),needs,Others
mcdonalds set,wants,Food & Beverage
holida bali,wants,Others
give parents money  bangsar rm50,needs,Financial Services
ubat klinik  midvalley,needs,Others
bread and eggs klang,needs,Food & Beverage
bil unifi rumah  online,needs,Telecommunication
netflix premium,wants,Entertainment
shopping sakan,wants,Shopping
makan angin kl cash,wants,Others
docto visit,needs,Others
kek secret recipe,wants,Food & Beverage
minyak muto penan,needs,Transportation
pay insurance,needs,Financial Services
milk powder baby,needs,Food & Beverage
give parents money deposit,needs,Financial Services
pay house rent cheras,needs,Financial Services
付房租 (fù fángzū) urgent,needs,Financial Services
cnocert tickets,wants,Entertainment
கார் பழுது (car repair),needs,Transportation
bayar api cheras,needs,Financial Services
tiket sunway lagoo,wants,Entertainment
买手机 (buy phone),wants,Shopping
பள்ளி கட்டணம் (school fee)  online,needs,Others
கார் கடன் (car loan) rm10,needs,Financial Services
pay water bill jb,needs,Financial Services
yuran tadka  pavilion now,needs,Others
insurans nyawa  online cash,needs,Financial Services
suhsi king,wants,Food & Beverage
சோறு (soru)  bangsar tomorrow,needs,Food & Beverage
bil air syabas,needs,Financial Services
minya masak paket klang,needs,Food & Beverage
ubat gigi  pavilion,needs,Others
还车贷 (huán chēdài),needs,Financial Services
data reload,needs,Telecommunication
spotify subscription klan,wants,Entertainment
yura sekolah anak,needs,Others
yuran tadika cheras,needs,Others
beg tangan coach,wants,Shopping
